iter	Logloss
0	0.4922774169
1	0.4014573331
2	0.3362227104
3	0.2971381417
4	0.2753482646
5	0.2559012938
6	0.2446695458
7	0.2276113652
8	0.2224984383
9	0.2147969214
10	0.2092648055
11	0.2034526163
12	0.1979496195
13	0.1931234577
14	0.1888876857
15	0.1857608468
16	0.1823930247
17	0.1789892342
18	0.1765276224
19	0.1745975527
20	0.1715706366
21	0.1696332326
22	0.167348119
23	0.1650920458
24	0.1630662188
25	0.1607277324
26	0.1587152749
27	0.1571549237
28	0.1554186173
29	0.1534817321
30	0.1516599037
31	0.1495949847
32	0.1475934269
33	0.1462325073
34	0.1445419905
35	0.1431020025
36	0.1419157262
37	0.1408877408
38	0.139486499
39	0.1381965252
40	0.1372418573
41	0.1358857378
42	0.1347040949
43	0.1336862227
44	0.1324529714
45	0.1315910633
46	0.1305991099
47	0.1295789166
48	0.1287142717
49	0.1277258024
50	0.1266568178
51	0.1254495076
52	0.1241423449
53	0.1231185929
54	0.1223438828
55	0.1213328658
56	0.120463593
57	0.119701088
58	0.1189139311
59	0.1179877688
60	0.1172376384
61	0.1166207594
62	0.115697512
63	0.1150041265
64	0.1140365625
65	0.1133237654
66	0.1125960487
67	0.1117391674
68	0.1111353465
69	0.1104572303
70	0.109776707
71	0.109239308
72	0.1087689663
73	0.1082116331
74	0.1076064343
75	0.1068779136
76	0.1064373449
77	0.1057719775
78	0.105104739
79	0.1045228578
80	0.1039007163
81	0.1033939247
82	0.1028869301
83	0.1023327638
84	0.1018189593
85	0.1013835665
86	0.1006772378
87	0.1001899003
88	0.09971781516
89	0.09922171399
90	0.09878330137
91	0.09826087619
92	0.09775585618
93	0.0971691634
94	0.09657345779
95	0.09605924475
96	0.09566259603
97	0.09538073138
98	0.09498822682
99	0.09451581948
100	0.09406921633
101	0.09364070247
102	0.09327132647
103	0.09294474099
104	0.09263857829
105	0.09232940985
106	0.09192089231
107	0.09150572733
108	0.09131773968
109	0.09100190214
110	0.09068728333
111	0.09026546879
112	0.08996600448
113	0.08949464512
114	0.08922107734
115	0.08887954156
116	0.08855868699
117	0.08819311818
118	0.0878534498
119	0.08745628964
120	0.08707801471
121	0.08666863648
122	0.08637999731
123	0.08590994077
124	0.08572028168
125	0.08539057651
126	0.08507581256
127	0.08468827105
128	0.08435889039
129	0.0840149569
130	0.08361524779
131	0.08338847724
132	0.08306009533
133	0.08277473189
134	0.08244881357
135	0.08225005011
136	0.08199443548
137	0.0818392527
138	0.08149740298
139	0.08104471698
140	0.08077587979
141	0.08049376278
142	0.08025323032
143	0.0799451684
144	0.07963951282
145	0.07937925131
146	0.079058265
147	0.07883438948
148	0.0786941177
149	0.07833199376
150	0.07798233126
151	0.07774324665
152	0.07755101915
153	0.07733164176
154	0.07732417913
155	0.07718584377
156	0.07680072103
157	0.07648571244
158	0.07627179665
159	0.07598715565
160	0.07566101497
161	0.07551159678
162	0.07524945664
163	0.07491743564
164	0.07467114
165	0.07453607189
166	0.07428513437
167	0.07404826081
168	0.07381406481
169	0.07366417143
170	0.07345674283
171	0.07326663055
172	0.07311135716
173	0.07286105517
174	0.07267356129
175	0.07226340134
176	0.07213004297
177	0.07189243728
178	0.07163075264
179	0.07138584224
180	0.07114535597
181	0.07093232976
182	0.07080043312
183	0.07055434804
184	0.07039209872
185	0.07018174995
186	0.06989916391
187	0.06966742207
188	0.06948299534
189	0.06929779634
190	0.0690563198
191	0.06891717623
192	0.06872295778
193	0.06852455007
194	0.06829207486
195	0.06808302226
196	0.06784824659
197	0.06767916878
198	0.06749812849
199	0.06730538484
